tx,ty,tz,qw,qx,qy,qz,fx,k1,k2,k3,p1,p2,cx,cy,fy,Scale
0.31930398348112143,-0.049540282748788945,0.13527641201041218,0.035613862823539476,0.6975193674183724,-0.7095991119219607,0.09309932980760958,246.34040961721632,-0.04261123628357447,-0.01070894423812811,-7.110080105061344e-05,0.048081958228746176,-0.03850539917801573,234.99637769159443,584.6549949437773,348.6414586089988,0.2621722606974717
0.29892048752138983,-0.044860184765838196,0.1356495287638416,0.022259642490059937,0.6961633610748753,-0.7133474077730468,0.07743745112427543,260.4291379143096,-0.04593400844350744,-0.018563658458115802,-0.00015652636046673514,0.04746360242462712,-0.03757360271752545,244.59164392039645,559.4761345891629,354.67060310323046,0.29885271395609464
0.29681447916472203,-0.045713918241559195,0.1348406312517185,0.02130336513526229,0.6961864258089531,-0.7134946078647904,0.07613193614470058,259.6899626104748,-0.04638787952320664,-0.01835199278512025,-0.00015145224652080458,0.04759837329851939,-0.03763832703497946,243.82208894810026,559.1294176591002,355.20166417394626,0.3015512225380965
0.2960310933505703,-0.045411989336525765,0.13278040612354738,0.02151139218140212,0.6967626592649643,-0.7129624785763284,0.0757862837374451,256.4074038952257,-0.046715460698446495,-0.017471969575881003,-0.00014890181752748714,0.047100108264391496,-0.037648085131002006,242.76124386681784,562.0342085739721,355.438585831101,0.29998802459263835
0.29662282600297385,-0.04249452858411076,0.12848666484782598,0.022151282855553324,0.6978853226401489,-0.7118770045100529,0.07547534406086565,252.22590990238305,-0.04718039744440275,-0.015745170389794283,-0.00013162430260110793,0.04576373983433367,-0.0376618503222451,242.78952612433326,569.3886597450081,355.4404246299034,0.2992352894240487
0.29683549974960555,-0.03631306464981173,0.11440577316140937,0.024377993529223867,0.7010649996044259,-0.7088237501020317,0.07404371041776173,233.95180863721166,-0.048224740677258335,-0.008531171815578545,-6.398377183994706e-05,0.041287453248212924,-0.037464908152393,239.64666279232057,595.1839617222308,356.1789965596694,0.2896283561984627
0.2965312293325246,-0.027040309907763148,0.09394240066818993,0.02687019229989659,0.7056851616308402,-0.7044858024694833,0.07061302669303894,211.2363519809166,-0.047517667629171575,-0.0034192483163846994,-1.7306437720840754e-05,0.03516324272834835,-0.035994388903700054,233.3407394911975,636.5654786959329,357.56422118435904,0.29520842763240407
0.29529483015331814,-0.015425875192438505,0.07290080824592612,0.029329176214063148,0.7110736486256896,-0.6993751183595233,0.06624582607500487,198.21960672199486,-0.045605512627233356,-0.0012583374455475205,-2.8845287097365743e-06,0.02916910805131728,-0.033838043293592884,227.10085648262256,689.5728145203459,359.18195779236675,0.2386344761063998
0.29317309408918063,-0.0094696048323011,0.06056143722477239,0.03023483885539707,0.7138296515908883,-0.6968416714354421,0.06280738794186431,193.0351535381943,-0.04413360660002958,-0.0004915178145887569,-7.886862521897675e-07,0.02584555988189135,-0.03249184153872855,222.05998763012005,726.6295339620995,360.3876919610823,0.2474924531082251
0.2927769728816169,-0.0067100518569538446,0.05511234179523583,0.030545450863325337,0.7149086753810522,-0.6958690110017338,0.06114638847826634,190.66897102505607,-0.0430126932702332,-0.0002774625315350954,-3.754116684405896e-07,0.024507669384206635,-0.03177714704621922,220.4652467222112,746.1362736587914,360.7146161410656,0.2699769134648897
